OID_,Region,GMUvalue,Unit,UnitSub,Major,MinorSpecific,UCU,GeoDetail,sqmiwater,Shape_Length,Shape_Area
121,1,1,01,01A,X08,2407,01AX082407,6,3.0961936,18502.543576364209002,8019104.738281250000000
122,1,1,01,01A,X08,2501,01AX082501,6,2.9121959,16832.152353480028978,7542553.027343750000000
123,1,1,01,01A,X08,2502,01AX082502,6,1.5206224,9429.678113836138436,3938393.730468750000000
124,1,1,01,01A,X08,2503,01AX082503,6,1.8833134,12363.876618149264687,4877759.308593750000000
125,1,1,01,01A,X08,2504,01AX082504,6,1.5387695,9302.842847100446306,3985394.722656250000000
126,1,1,01,01A,X08,2505,01AX082505,6,5.6000562,33917.632848062145058,14504078.722656250000000
127,1,1,01,01A,X08,2506,01AX082506,6,0.9767876,6901.613762971316646,2529868.375000000000000
128,1,1,01,01A,X08,2507,01AX082507,6,2.6847377,15179.059461548871695,6953438.875000000000000
129,1,1,01,01A,X08,2508,01AX082508,6,4.5517454,26909.426509449345758,11788967.062500000000000
130,1,1,01,01A,X08,2601,01AX082601,6,2.7132370,18660.145967442727851,7027251.678396889939904
131,1,1,01,01B,X16,0101,01BX160101,6,32.2336197,40173.105357863583777,83484688.123718619346619
132,1,1,01,01B,X16,0102,01BX160102,6,7.9848094,19445.220356836038263,20680561.753906250000000
133,1,1,01,01B,X16,0103,01BX160103,6,19.0137043,28110.009581841753970,49245267.992187500000000
134,1,1,01,01B,X16,0104,01BX160104,6,10.9136219,36643.041425540701312,28266151.078125000000000
135,1,1,01,01B,X16,0201,01BX160201,6,21.5349598,63775.984897323745827,55775288.753906250000000
136,1,1,01,01B,X16,0301,01BX160301,6,24.0240269,45338.697208859055536,62221941.886718750000000
137,1,1,01,01B,X16,0302,01BX160302,6,12.8211784,42844.941363815014483,33206699.941406250000000
138,1,1,01,01B,X16,0303,01BX160303,6,1.4321696,13292.220139414375808,3709302.226562500000000
139,1,1,01,01B,X16,0304,01BX160304,6,0.9503741,10276.092110271883939,2461457.554687500000000
140,1,1,01,01B,X16,0305,01BX160305,6,3.6215966,22678.162340776503697,9379891.937500000000000
141,1,1,01,01B,X16,0401,01BX160401,6,1.1079931,13499.548337448708480,2869689.050781250000000
142,1,1,01,01B,X16,0501,01BX160501,6,27.9181385,102169.395054027583683,72307647.535156250000000
143,1,1,01,01B,X16,0502,01BX160502,6,9.7297821,24355.751178582115244,25200019.886718750000000
144,1,1,01,01B,X17,0601,01BX170601,6,28.4929047,55933.377741434007476,73796285.687500000000000
145,1,1,01,01B,X17,0602,01BX170602,6,4.8781447,39944.205961788306013,12634336.417968750000000
146,1,1,01,01B,X17,0701,01BX170701,6,28.7361813,123676.154952861936181,74426366.410156250000000
147,1,1,01,01B,X17,0702,01BX170702,6,15.8046303,100925.444826939725317,40933803.773437500000000
148,1,1,01,01B,X17,0703,01BX170703,6,5.5325928,44254.096494465287833,14329349.398437500000000
149,1,1,01,01B,X17,0801,01BX170801,6,4.6109457,80229.569303249023505,11942294.929687500000000
150,1,1,01,01B,X17,0802,01BX170802,6,3.4903042,105588.976385998888873,9039846.191406250000000
151,1,1,01,01B,X17,0803,01BX170803,6,0.0587345,4597.535187027953725,152121.707031250000000
152,1,1,01,01B,X18,1001,01BX181001,6,16.1988430,42375.201405937172240,41954809.550781250000000
153,1,1,01,01B,X18,1002,01BX181002,6,2.8856747,13533.055998639887548,7473863.152343750000000
154,1,1,01,01B,X18,1101,01BX181101,6,7.8116112,54946.906407181500981,20231979.902343750000000
155,1,1,01,01B,X18,1102,01BX181102,6,2.7926221,26732.337544621670531,7232857.773437500000000
156,1,1,01,01B,X18,1201,01BX181201,6,3.1979003,31989.009107556852541,8282523.699218750000000
157,1,1,01,01B,X18,1202,01BX181202,6,1.5955637,9765.782824962963787,4132490.746093750000000
158,1,1,01,01B,X18,1203,01BX181203,6,5.6849456,34915.435174064565217,14723941.453125000000000
159,1,1,01,01B,X18,1204,01BX181204,6,0.9813372,11675.916647084382930,2541651.796875000000000
160,1,1,01,01B,X18,1301,01BX181301,6,1.6487999,26985.282480034231412,4270372.280706217512488
161,1,1,01,01B,X18,1302,01BX181302,6,0.0188257,1280.976086167805306,48758.218750000000000
162,1,1,01,01B,X18,1306,01BX181306,6,0.0405738,2977.379905779378987,105085.756328128336463
163,1,1,01,01B,X18,1307,01BX181307,6,1.4815753,18848.487195064444677,3837262.367187500000000
164,1,1,01,01B,X18,1401,01BX181401,6,4.8458772,24009.383378699916648,12550764.183625014498830
165,1,1,01,01B,X18,1402,01BX181402,6,3.5856707,19698.275265073181799,9286844.718750000000000
166,1,1,01,01B,X18,1403,01BX181403,6,2.4041595,26650.654316249532712,6226744.359612492844462
167,1,1,01,01B,X18,1501,01BX181501,6,3.1142662,18243.615273762636207,8065912.343296866863966
168,1,1,01,01B,X18,1502,01BX181502,6,7.5202355,28068.836722312404163,19477321.105468750000000
169,1,1,01,01B,X18,1601,01BX181601,6,1.9094931,20901.239364186869352,4945564.289062500000000
170,1,1,01,01B,X18,1602,01BX181602,6,5.5417018,42990.911126751067059,14352942.180988723412156
171,1,1,01,01B,X18,1701,01BX181701,6,12.8499327,30342.572848066080041,33281171.624289710074663
172,1,1,01,01B,X18,1702,01BX181702,6,27.6881294,69867.539706286988803,71711926.118211567401886
173,1,1,01,01B,X18,1703,01BX181703,6,2.9572389,18920.346402841234521,7659213.824056265875697
174,1,1,01,01B,X18,1705,01BX181705,6,12.9845695,39777.922885347237752,33629880.432096540927887
175,1,1,01,01C,X21,0101,01CX210101,6,887.3479004,1765488.029871333623305,2298220542.447745800018311
176,1,1,01,01C,X22,0201,01CX220201,6,3.7301028,18892.472946629168291,9660921.825324892997742
177,1,1,01,01C,X22,0202,01CX220202,6,3.4603107,18842.015912398273940,8962163.750000000000000
178,1,1,01,01C,X22,0203,01CX220203,6,17.2948208,32253.371163716732553,44793377.802417904138565
179,1,1,01,01C,X22,0204,01CX220204,6,24.8330021,77973.328953678268590,64317181.725776016712189
180,1,1,01,01C,X22,0301,01CX220301,6,3.7995138,15928.352423888652993,9840695.750260198488832
181,1,1,01,01C,X23,0401,01CX230401,6,9.4771414,23899.375723117318557,24545684.166215192526579
182,1,1,01,01C,X23,0402,01CX230402,6,22.8347511,34239.209816322640108,59141736.073362946510315
183,1,1,01,01C,X23,0403,01CX230403,6,15.4926844,35888.729620182428334,40125868.179176867008209
184,1,1,01,01C,X23,0404,01CX230404,6,13.5115223,60124.927229327877285,34994682.348972976207733
185,1,1,01,01C,X23,0501,01CX230501,6,7.5573883,22900.592694681588910,19573545.451080366969109
186,1,1,01,01C,X23,0502,01CX230502,6,4.6626043,16412.414339354014373,12076089.977043906226754
187,1,1,01,01C,X23,0503,01CX230503,6,29.9009380,57330.433023838122608,77443075.012679055333138
188,1,1,01,01C,X23,0504,01CX230504,6,44.3733253,105675.081916785668000,114926380.145480543375015
189,1,1,01,01C,X23,0507,01CX230507,6,4.9009666,23080.237844645347650,12693445.046875000000000
190,1,1,01,01C,X23,0601,01CX230601,6,42.9859619,84231.856634865500382,111333133.980379864573479
191,1,1,01,01C,X23,0603,01CX230603,6,0.4870587,6019.260129908071576,1261476.265625000000000
192,1,1,01,01C,X23,0604,01CX230604,6,2.0363164,16620.146029375569924,5274035.179687500000000
193,1,1,01,01C,X23,0605,01CX230605,6,0.4805279,6402.303153689142164,1244561.593750000000000
194,1,1,01,01C,X23,0701,01CX230701,6,9.5348949,41997.412645048178092,24695263.793743494898081
195,1,1,01,01C,X24,0801,01CX240801,6,15.6434259,29995.708829382983822,40516287.098180942237377
196,1,1,01,01C,X24,0802,01CX240802,6,39.4463654,57381.740521487547085,102165615.151036188006401
197,1,1,01,01C,X24,0901,01CX240901,6,8.5899534,37044.892179671180202,22247878.367187500000000
198,1,1,01,01C,X24,0902,01CX240902,6,7.9629836,24004.574630645976868,20624032.304687500000000
199,1,1,01,01C,X24,1002,01CX241002,6,0.3878613,5084.927915883637070,1004556.289062500000000
200,1,1,01,01C,X24,1102,01CX241102,6,0.1369705,4487.518840098427972,354751.921875000000000
201,1,1,01,01C,X24,1201,01CX241201,6,0.8485798,6649.430686343258458,2197811.632812500000000
202,1,1,01,01C,X25,1401,01CX251401,6,55.2569275,76060.064312980481191,143114788.863787531852722
203,1,1,01,01C,X25,1402,01CX251402,6,5.6729498,22687.780573458850995,14692872.143009928986430
204,1,1,01,01C,X25,1403,01CX251403,6,1.5092572,9720.400373413773195,3908958.226562500000000
205,1,1,01,01C,X25,1501,01CX251501,6,40.9434967,101168.767543878086144,106043164.877425208687782
206,1,1,01,01C,X25,1507,01CX251507,6,7.0854712,64677.313146972759569,18351285.498872119933367
207,1,1,01,01C,X25,1701,01CX251701,6,6.3348689,62470.231724248180399,16407234.676392475143075
208,1,1,01,01C,X25,1706,01CX251706,6,0.8455626,6983.640402490012093,2189996.960937500000000
209,1,1,01,01C,X25,1708,01CX251708,6,14.6786852,45591.843616918187763,38017619.710337497293949
210,1,1,01,01C,X25,1709,01CX251709,6,7.9828563,25085.339811892819853,20675502.710937500000000
211,1,1,01,01C,X25,1801,01CX251801,6,3.9964719,29687.468769909064576,10350814.648437500000000
212,1,1,01,01C,X25,1802,01CX251802,6,0.4710519,4892.716207054578263,1220018.734375000000000
213,1,1,01,01C,X25,1804,01CX251804,6,2.8766105,19741.720330135212862,7450387.316912426613271
214,1,1,01,01C,X25,1901,01CX251901,6,12.9438295,43083.381562126247445,33524364.276637658476830
215,1,1,01,01C,X25,1903,01CX251903,6,8.9480028,25234.975707230241824,23175220.811112470924854
216,1,1,01,01C,X25,1905,01CX251905,6,0.9040327,6342.497986581450277,2341434.016343728173524
217,1,1,01,01C,X26,2001,01CX262001,6,34.9040298,68907.129340457264334,90401020.264740303158760
218,1,1,01,01C,X26,2101,01CX262101,6,22.8219204,78257.358371455193264,59108500.920131281018257
219,1,1,01,01C,X27,2201,01CX272201,6,6.1530299,59428.498175160144456,15936273.982771206647158
220,1,1,01,01C,X27,2202,01CX272202,6,1.2967811,14332.880750896221798,3358647.389398401603103
221,1,1,01,01C,X27,2203,01CX272203,6,11.2159634,35985.648109795867640,29049210.936672680079937
